match_id,length,realm,map,killer_player,killer,kills,hooks,killer_result,killer_bp,survivor0_player,survivor0,survivor0_escaped,survivor0_bp,survivor1_player,survivor1,survivor1_escaped,survivor1_bp,survivor2_player,survivor2,survivor2_escaped,survivor2_bp,survivor3_player,survivor3,survivor3_escaped,survivor3_bp
0,11,Backwater Swamp,Grim Pantry,Ayrun,Cannibal,0,0,Entity Displeased,8275,Ralph,Yui Kimura,True,24613,Umbra,Nancy Wheeler,True,24613,TheJRM_,Nancy Wheeler,True,24613,Ev3ntic,Zarina Kassir,True,24613
1,9,Backwater Swamp,The Pale Rose,Uncharted,Executioner,2,6,Entity Displeased,21694,TrajceBrukata,Detective David Tapp,False,26336,TrU3Ta1ent,Felix Richter,True,26336,Umbra,Dwight Fairfield,False,26336,imPROBZZ,Leon Scott Kennedy,True,26336
2,8,Backwater Swamp,Grim Pantry,Trivialiac,Pig,2,10,Brutal Killer,27878,SpookyLoopz,David King,True,23937,Ohmwrecker,Mikaela Reid,True,23937,praxz,Leon Scott Kennedy,False,23937,Fungoose,Laurie Strode,False,23937
3,13,Crotus Prenn Asylum,Father Campbell's Chapel,imPROBZZ,Cenobite,0,8,Entity Displeased,24737,Yerv,Dwight Fairfield,True,11631,Skermz,Meg Thomas,True,11631,Ralph,Jill Valentine,True,11631,Umbra,Jeffrey "Jeff" Johansen,True,11631
4,19,Haddonfield,Lampkin Lane,Ev3ntic,Hag,1,9,Entity Displeased,8926,Fungoose,Cheryl Mason,True,6545,ScottJund,Zarina Kassir,True,6545,praxz,Quentin Smith,False,6545,Ralph,Yun-Jin Lee,True,6545
5,16,Backwater Swamp,Grim Pantry,Trivialiac,Spirit,3,11,Ruthless Killer,26699,Umbra,Ace Visconti,False,29270,TrajceBrukata,Jeffrey "Jeff" Johansen,False,29270,TheJRM_,Felix Richter,False,29270,SpookyLoopz,Laurie Strode,True,29270
6,15,The MacMillan Estate,Suffocation Pit,Bronx,Artist,0,0,Entity Displeased,9537,imPROBZZ,Nea Karlsson,True,18884,Trivialiac,Laurie Strode,True,18884,SpookyLoopz,Meg Thomas,True,18884,Yerv,Felix Richter,True,18884
7,9,The MacMillan Estate,Groaning Storehouse,Trivialiac,Hag,3,9,Ruthless Killer,14409,ZubatLEL,Claudette Morel,False,7635,Uncharted,Nea Karlsson,True,7635,TheJRM_,Quentin Smith,False,7635,Ev3ntic,Yun-Jin Lee,False,7635
8,8,Crotus Prenn Asylum,Disturbed Ward,ANGRYPUG,Nurse,4,12,Ruthless Killer,16490,Ayrun,Jane Romero,False,9323,Trivialiac,Claudette Morel,False,9323,Otzdarva,Claudette Morel,False,9323,Abadjar,Feng Min,False,9323
9,17,Backwater Swamp,Grim Pantry,TrU3Ta1ent,Hag,0,0,Entity Displeased,22282,SpookyLoopz,Felix Richter,True,17639,Skermz,Ace Visconti,True,17639,Trivialiac,Meg Thomas,True,17639,Fungoose,Kate Denson,True,17639
